,model,dataset,trial,run,score,performance_measure,regularization,n_train
136,kim,gtzan,2,4,0.5281004041929219,f1_score_macro,,
137,kim,gtzan,2,4,0.5281004041929219,f1_score_macro,,
138,kim,gtzan,2,4,0.5281004041929219,f1_score_macro,,
139,kim,gtzan,2,4,0.5281004041929219,f1_score_macro,,
140,clmr,gtzan,0,4,0.6737791750250761,f1_score_macro,,
141,clmr,gtzan,0,4,0.6737791750250761,f1_score_macro,,
142,clmr,gtzan,0,4,0.6737791750250761,f1_score_macro,,
143,clmr,gtzan,0,4,0.6737791750250761,f1_score_macro,,
144,clmr,gtzan,0,4,0.6737791750250761,f1_score_macro,,
145,clmr,gtzan,1,4,0.7019499085128442,f1_score_macro,,
146,clmr,gtzan,1,4,0.7019499085128442,f1_score_macro,,
147,clmr,gtzan,1,4,0.7019499085128442,f1_score_macro,,
148,clmr,gtzan,1,4,0.7019499085128442,f1_score_macro,,
149,clmr,gtzan,1,4,0.7019499085128442,f1_score_macro,,
150,clmr,gtzan,2,4,0.649694440463365,f1_score_macro,,
151,clmr,gtzan,2,4,0.649694440463365,f1_score_macro,,
152,clmr,gtzan,2,4,0.649694440463365,f1_score_macro,,
153,clmr,gtzan,2,4,0.649694440463365,f1_score_macro,,
154,clmr,gtzan,2,4,0.649694440463365,f1_score_macro,,
155,hdpgmm,gtzan,0,4,0.6255667075227421,f1_score_macro,0.1,2k
156,hdpgmm,gtzan,0,4,0.6255667075227421,f1_score_macro,0.1,2k
157,hdpgmm,gtzan,0,4,0.6255667075227421,f1_score_macro,0.1,2k
158,hdpgmm,gtzan,0,4,0.6255667075227421,f1_score_macro,0.1,2k
159,hdpgmm,gtzan,0,4,0.6255667075227421,f1_score_macro,0.1,2k
160,hdpgmm,gtzan,0,4,0.5808448038940608,f1_score_macro,0.1,2k
161,hdpgmm,gtzan,0,4,0.5808448038940608,f1_score_macro,0.1,2k
162,hdpgmm,gtzan,0,4,0.5808448038940608,f1_score_macro,0.1,2k
163,hdpgmm,gtzan,0,4,0.5808448038940608,f1_score_macro,0.1,2k
164,hdpgmm,gtzan,0,4,0.5808448038940608,f1_score_macro,0.1,2k
165,hdpgmm,gtzan,0,4,0.599077611383646,f1_score_macro,0.1,2k
166,hdpgmm,gtzan,0,4,0.599077611383646,f1_score_macro,0.1,2k
167,hdpgmm,gtzan,0,4,0.599077611383646,f1_score_macro,0.1,2k
168,hdpgmm,gtzan,0,4,0.599077611383646,f1_score_macro,0.1,2k
169,hdpgmm,gtzan,0,4,0.599077611383646,f1_score_macro,0.1,2k
